iter	Passed	Remaining
400	31454	203865
401	31549	203893
402	31627	203815
403	31728	203875
404	31811	203831
405	31913	203897
406	31983	203764
407	32080	203803
408	32171	203807
409	32272	203865
410	32360	203846
411	32459	203896
412	32555	203924
413	32646	203922
414	32752	204010
415	32834	203951
416	32905	203822
417	32996	203820
418	33074	203734
419	33133	203532
420	33212	203455
421	33311	203501
422	33405	203512
423	33475	203382
424	33572	203410
425	33648	203312
426	33732	203261
427	33814	203200
428	33900	203168
429	33970	203034
430	34068	203066
431	34156	203040
432	34214	202837
433	34288	202727
434	34351	202553
435	34419	202414
436	34497	202326
437	34581	202277
438	34651	202146
439	34736	202100
440	34826	202091
441	34906	202016
442	34986	201945
443	35069	201884
444	35144	201784
445	35215	201661
446	35301	201619
447	35392	201610
448	35473	201540
449	35574	201586
450	35657	201531
451	35742	201487
452	35812	201358
453	35894	201293
454	35970	201197
455	36049	201116
456	36142	201117
457	36220	201031
458	36300	200958
459	36393	200956
460	36462	200822
461	36553	200807
462	36646	200801
463	36747	200842
464	36818	200719
465	36907	200693
466	36971	200534
467	37067	200543
468	37150	200485
469	37235	200436
470	37319	200381
471	37404	200336
472	37470	200187
473	37533	200018
474	37608	199919
475	37666	199727
476	37758	199715
477	37850	199704
478	37930	199632
479	37998	199494
480	38076	199409
481	38176	199438
482	38252	199341
483	38336	199287
484	38429	199277
485	38502	199166
486	38580	199079
487	38668	199045
488	38781	199139
489	38867	199098
490	38957	199072
491	39023	198925
492	39100	198831
493	39167	198693
494	39261	198686
495	39365	198732
496	39428	198569
497	39505	198481
498	39608	198518
499	39694	198473
500	39779	198422
501	39865	198372
502	39960	198372
503	40038	198286
504	40131	198275
505	40229	198283
506	40322	198270
507	40397	198168
508	40465	198035
509	40556	198012
510	40642	197965
511	40741	197976
512	40825	197921
513	40931	197970
514	41022	197943
515	41087	197794
516	41182	197789
517	41262	197707
518	41334	197591
519	41410	197495
520	41501	197469
521	41614	197549
522	41693	197467
523	41768	197363
524	41848	197283
525	41927	197200
526	42011	197144
527	42100	197105
528	42185	197050
529	42278	197034
530	42349	196912
531	42438	196874
532	42536	196879
533	42612	196784
534	42706	196767
535	42783	196677
536	42880	196673
537	42965	196618
538	43047	196547
539	43115	196415
540	43202	196366
541	43299	196364
542	43382	196297
543	43465	196235
544	43526	196069
545	43615	196031
546	43688	195920
547	43776	195874
548	43854	195787
549	43933	195702
550	44009	195608
551	44087	195520
552	44168	195441
553	44257	195403
554	44328	195283
555	44407	195202
556	44471	195053
557	44560	195013
558	44624	194861
559	44700	194766
560	44782	194697
561	44883	194706
562	44976	194684
563	45051	194584
564	45160	194629
565	45236	194532
566	45327	194502
567	45423	194487
568	45504	194415
569	45587	194348
570	45678	194313
571	45743	194167
572	45833	194133
573	45930	194122
574	45993	193973
575	46061	193842
576	46146	193783
577	46229	193716
578	46310	193638
579	46393	193571
580	46473	193493
581	46540	193357
582	46631	193324
583	46718	193275
584	46787	193150
585	46870	193081
586	46965	193060
587	47041	192967
588	47122	192891
589	47204	192819
590	47296	192785
591	47378	192716
592	47440	192562
593	47521	192485
594	47609	192438
595	47699	192397
596	47793	192376
597	47886	192348
598	47966	192267
599	48049	192199
600	48145	192182
601	48204	192018
602	48280	191919
603	48363	191852
604	48438	191750
605	48522	191687
606	48601	191605
607	48703	191608
608	48775	191496
609	48854	191413
610	48928	191309
611	49007	191226
612	49091	191162
613	49189	191150
614	49273	191083
615	49350	190993
616	49415	190856
617	49488	190745
618	49561	190639
619	49651	190598
620	49726	190498
621	49832	190517
622	49921	190470
623	50015	190444
624	50099	190378
625	50195	190359
626	50273	190268
627	50344	190154
628	50419	190055
629	50522	190062
630	50603	189984
631	50674	189870
632	50766	189833
633	50865	189823
634	50952	189767
635	51045	189735
636	51139	189707
637	51217	189618
638	51306	189570
639	51419	189609
640	51518	189597
641	51624	189612
642	51702	189521
643	51779	189428
644	51849	189311
645	51940	189269
646	52037	189249
647	52118	189170
648	52199	189093
649	52272	188985
650	52360	188932
651	52457	188912
652	52554	188890
653	52628	188786
654	52705	188694
655	52793	188640
656	52893	188629
657	52962	188509
658	53058	188483
659	53132	188380
660	53212	188296
661	53300	188241
662	53365	188108
663	53460	188079
664	53544	188011
665	53617	187901
666	53695	187814
667	53767	187704
668	53855	187649
669	53952	187625
670	54026	187523
671	54134	187537
672	54203	187417
673	54281	187326
674	54378	187302
675	54445	187178
676	54529	187107
677	54614	187042
678	54705	186996
679	54794	186944
680	54876	186870
681	54953	186776
682	55060	186787
683	55141	186706
684	55220	186621
685	55319	186602
686	55396	186510
687	55468	186400
688	55550	186323
689	55640	186276
690	55706	186144
691	55768	186003
692	55868	185987
693	55942	185882
694	56023	185805
695	56115	185761
696	56200	185695
697	56292	185652
698	56369	185558
699	56442	185455
700	56544	185443
701	56637	185404
702	56715	185312
703	56797	185238
704	56873	185141
705	56940	185017
706	57035	184981
707	57129	184945
708	57203	184841
709	57286	184770
710	57377	184722
711	57457	184638
712	57539	184561
713	57594	184398
714	57687	184358
715	57770	184285
716	57875	184280
717	57960	184214
718	58024	184080
719	58112	184024
720	58183	183911
721	58260	183818
722	58346	183756
723	58424	183665
724	58499	183565
725	58585	183504
726	58663	183414
727	58758	183376
728	58840	183300
729	58906	183175
730	58981	183077
731	59063	182999
732	59133	182885
733	59239	182882
734	59322	182810
735	59410	182751
736	59492	182673
737	59582	182624
738	59666	182553
739	59746	182469
